bnumber,heat_shock,IPTG,anaerobic,NaCL,log_phase
B0286,0.0,0.364492,0.377328,1.096643,0.0
B0287,-2.637846,1.368269,0.358141,0.458404,-3.675702
B0289,1.086968,-0.004782,0.243379,1.576739,0.0
B0290,-1.723866,0.098144,0.21053,0.122777,0.0
B0296,-4.762906,0.0,-5.212542,0.106978,0.0
B0299,-0.211566,-0.269568,0.085268,-1.038642,0.0
B0305,0.0,-0.641239,-0.298275,2.489814,0.0
B0306,-0.08863500000000001,0.004141,0.18994,-0.677047,0.0
B0307,0.0,-0.442927,0.672726,-0.608352,0.0
B0308,1.676205,0.0,0.014604,0.276209,0.0
B0311,0.0,0.79505,-0.843952,2.128504,-0.697585
B0312,-0.90532,0.395532,-0.985215,2.084709,-1.841176
B0313,0.0,-0.001127,-1.0962,2.240465,0.0
B0315,4.815341,-0.579006,-0.706505,1.058944,0.0
B0324,1.034785,0.160421,-0.072507,0.541548,-1.509725
B0325,-1.130569,0.128216,-0.069286,0.7387860000000001,-1.056423
B0330,0.337117,-0.262004,0.410907,-0.531792,1.591368
B0333,-1.096534,-0.152668,-0.419844,-1.682946,0.0
B0334,1.450177,-0.421111,1.068436,-0.158348,-0.872843
B0336,-0.059752,0.0,-0.102284,-1.598903,-0.848749
B0337,-1.221804,-0.342784,-0.026022,-2.031329,-2.130634
B0344,0.0,3.857141,0.0,0.0,0.0
B0345,-1.994716,0.165001,-0.175598,-0.789055,3.14913
B0346,0.0,0.167035,-0.848055,-1.22389,4.609589
B0352,0.0,0.0,0.08057,0.096362,0.0
B0353,0.009671000000000001,0.078499,-0.976373,1.145374,0.459241
B0354,-2.794853,0.070034,0.028725,-0.258777,-0.196331
B0355,0.105756,-0.008662,-1.054509,-0.503675,-0.342986
B0356,1.627725,0.309944,-0.333321,0.118256,-0.918265
B0357,1.794105,0.372325,-0.540395,-0.236832,0.0
B0361,-0.35675,-0.158465,0.030765,0.0522,-2.091955
B0369,-3.069036,-0.001322,-0.313364,0.0279,-2.250235
B0370,0.0,0.0,-0.301868,2.322116,0.0
B0372,0.563559,-0.239008,0.27471,-0.749735,-0.6282
B0373,0.0,-0.794454,0.03673,0.115373,0.0
B0376,-1.62488,-0.462706,-0.396242,-0.612744,-1.558703
B0377,-1.082692,0.0,0.144303,0.2945,0.0
B0380,0.0,0.006092,0.0,-0.361129,0.0
B0381,-0.256903,-0.7658509999999999,0.782834,-0.813447,-0.405455
B0382,0.0,0.137322,-2.859336,-0.43807,0.0
B0383,2.288254,-0.408437,-1.031257,-0.207159,0.0
B0385,0.0,0.0,-0.636443,0.009582,0.0
B0386,-2.757125,0.993723,-0.365263,-0.513486,-1.213835
B0387,-1.504038,-0.21602,0.1458,-0.932794,0.0
B0388,-1.33865,0.142612,2.04775,-0.307465,-1.439384
B0389,0.0,0.0,1.935107,-0.185787,-1.585499
B0390,-1.657504,0.0,1.068542,-2.392975,-1.360298
B0391,-3.12275,-0.368916,-0.11295,-0.228539,-1.093322
